,Tweets,Source,Likes,RTs
53,"RT @Nosuprises99: Terima kasih untuk hari ini, sempat di notice juga sama kak @yurayunita . Akhir bisa dengar lagu yang sangat berarti buat…",Twitter for iPhone,0,18
54,"RT @4rifgunawan: Janji takkan ke mana-mana, ya.

By @yurayunita at Pestapora. https://t.co/pvQq7IHHg8",Twitter for iPhone,0,25
55,"Part 2, lanjutan dari apa yang telah terjadi di video musik #DuniaTipuTipu

Mengutarakan yang belum terucap sebelum… https://t.co/JUnXufwL5o",Twitter for iPhone,228,45
56,@senang2fest Ga sabar juga mau nyanyi bareng langsung sama teman teman disana! 🙌,Twitter for iPhone,2,2
57,"Lagu dan album ini sebuah persembahan terima kasih untuk mereka yang selalu ada, yang bersahabat dengan lebih kuran… https://t.co/p4wKtFgv44",Twitter for iPhone,179,30
58,"Dunia kadang penuh tipu-tipu, tapi ketika kita punya seseorang untuk bertumpu, jadi pegangan, jadi rumah, jadi temp… https://t.co/p6oXQJc43H",Twitter for iPhone,1108,631
59,"Sampul album #TuturBatin adalah tangkapan gambar dari kamera pribadi di kala proses lebih mengenal diri, menerima d… https://t.co/8WOeWBdJvL",Twitter for iPhone,67,2
60,"Lagu ini juga jadi urutan pertama dari rangkaian 11 lagu yang ada di album ke-3 ku, Tutur Batin. Berperan menjadi p… https://t.co/JTTbcex1Vr",Twitter for iPhone,43,1
61,Demo version lagu #DuniaTipuTipu. Ditulis dan direkam seadanya tahun lalu beberapa hari setelah ulang tahunku. https://t.co/GmbDDdinpO,Twitter Media Studio,555,66
62,https://t.co/qKGOm5Twyj,Twitter for iPhone,102,4
63,@eliensambat hmmm belum dengerin dunia tipu-tipu ya km,Twitter for iPhone,1,0
64,Ku tertawa tanpa tapi. Tetaplah seperti ini~,Twitter for iPhone,1178,168
65,"Aku melihat pernikahan itu komposisinya 10% cintah, 90% lelucon aneh tiap hari.",Twitter for iPhone,36830,5502
66,RT @katsumatcha: Yura Yunani nih @yurayunita https://t.co/pS1gTRpDsp,Twitter for iPhone,0,11
67,RT @gaby_sumaraw: @yurayunita Epic Closing Asian Para Games Merakit+fireworks 🎆 kayaknya merakit Live hari ini terbaik &amp; super indah @yuray…,Twitter for iPhone,0,22
68,"@jsaidwortell Masih aja :,)",Twitter for iPhone,4,1
69,Sudah tiba di Solo untuk Closing Ceremony Asean Para Games nanti malam 😊,Twitter for iPhone,1320,28
70,🥹☺️☺️🤗🤗 https://t.co/cuDwQhgdcO,Twitter for iPhone,275,16
71,Tidak setiap saat saling bertukar kabar tapi tau kalau masing-masing dari kita selalu ada untuk satu sama lain.,Twitter for iPhone,47518,14151
72,Siapa yang terlintas di kepalamu waktu dengerin #DuniaTipuTipu?,Twitter for iPhone,12746,734
73,Nangis banget liat ada yang recreate video musik dunia tipu tipu sama pasangannya 😭 https://t.co/fcAH7aoP2I,Twitter Media Studio,4007,603
74,Terima kasih 💗💗💗,Twitter for iPhone,109,3
75,"2 hari, 2jt views, #1 di youtube trending for music. Masih ga nyangka 😭

https://t.co/qKGOm5Twyj https://t.co/5plzcvqWYk",Twitter for iPhone,1747,109
76,"@ikanatassa Kak Ika, terima kasih 🥹",Twitter for iPhone,5,0
77,"RT @vlyyy_____: Dari kemarin masih nahan untuk liat MV nya teh Yura yunita - Dunia Tipu Tipu , ini. tapi hari ini coba nonton, dan alhasil…",Twitter for iPhone,0,3
78,"RT @selplopppp: baru kali ini dengerin lagu pertama kali langsung nangis, gila keren banget lagunya yura yunita dunia tipu-tipu. nangis kej…",Twitter for iPhone,0,32
79,Salam untuk Ibu yaaaa Yaya 🤍🙏🏻 https://t.co/zKCHoQBU6t,Twitter for iPhone,87,3
80,1 juta lebih dalam 1 hari. Aku masih memproses berjuta rasa yang muncul dalam beberapa hari terakhir ini. Rasa yang… https://t.co/n5QjmdVWKr,Twitter for iPhone,27139,2367
81,"RT @abigailimuriaa: Dunia Tipu-Tipu bagus banget. Simpel, intimate, ngebekas, pesennya nancep. Salah satu musik video terbaik yang pernah g…",Twitter for iPhone,0,11
82,RT @anjaswords: Lagu Dunia Tipu-Tipu - Yura Yunita mengajarkan tentang pentingnya punya seseorang mengerti baik buruk tentang kita. Entah i…,Twitter for iPhone,0,15530
83,"RT @srytinuragg: Denger lagu nya teh yura yg “dunia tipu-tipu” makin sayang banget sama orang-orang yg selalu baik, ada buat gue. Dan emang…",Twitter for iPhone,0,183
84,"RT @tmrnrzkr: Dengerin duniatiputipu rasanya mau melukin keluarga, pasangan, sahabat.  U kno who u are, kita ga selalu bareng bareng but on…",Twitter for iPhone,0,198
85,RT @gulaagulali02: Nangis denger lagunya 😭😭😭 suami yg lagi kerja dan kebetulan dengerin lagu ini juga karena deketan tiba2 langsung meluk .…,Twitter for iPhone,0,1
86,"RT @shelmashalindri: Ku kira biasa aja, makanya ku tonton sambil sarapan dan tanpa persiapan mental, persiapannya cuma ngerekam reaksi aja.…",Twitter for iPhone,0,9
87,"Ragam hubungan, di satu ruang, tanpa kata, hanya mata bicara. Semua begitu nyata. https://t.co/qKGOm5Twyj Video Musik #DuniaTipuTipu",Twitter for iPhone,2167,413
88,Hatiku udah ga sanggup lagi. Banyak sekali yang bikin nangis hari ini 🥺,Twitter for iPhone,31475,5161
89,"RT @sieniiiniih: Dari lagu ini kita bisa belajar untuk lebih menghargai segala pemberian yang tuhan berikan sama kita, salah satunya adalah…",Twitter for iPhone,0,401
90,"Jam 8 malam ini. 
Video Musik #DuniaTipuTipu 👀
 https://t.co/qKGOm5Twyj https://t.co/bPaSaV3eAP",Twitter for iPhone,1062,229
91,Yuk buka Resso nya sekarang sambil nunggu video musik #DuniaTipuTipu  👀 https://t.co/SeArl1Bpiz,Twitter for iPhone,44,1
92,Cosplay jadi mighty thor ⚡️ https://t.co/9D22hK2hH8,Twitter for iPhone,2585,111
93,#NewProfilePic 🤍 Menyambut Video Musik #DuniaTipuTipu 27 Juli 2022 https://t.co/XCdBX5rPmQ,Twitter for iPhone,944,47
94,@mazzini_gsp Adaaaa! Gemes 💚,Twitter for iPhone,23,0
95,@ItuKutil diantos,Twitter for iPhone,0,0
96,@rn_pstl Waktu itu ada yang bawa lightstick blackpink hmmm gpp mungkin dia pikir aku lisa,Twitter for iPhone,160,2
97,Janji! Kita ketemu lagi besok di Bekasi. See you 🤍 https://t.co/1ePEQPPJr3,Twitter for iPhone,203,17
98,Terpantau tidak ada yang aneh-aneh malam ini 😌 https://t.co/rGNQvFLsV4,Twitter for iPhone,2014,93
99,Tenang tenang ubi (dance practice) https://t.co/yk3pFH4P8D,Twitter for iPhone,2691,359
100,Maaf. Gini doang aku ngakak 😂 https://t.co/halGXkWbBM https://t.co/wUqEfDyxmJ,Twitter for iPhone,1067,92
101,Kemarin malam ✨✨✨ https://t.co/FmtjdZdjfO,Twitter for iPhone,1666,95
102,@Discoverskak Terheran heran 😂😂😂,Twitter for iPhone,381,7
103,"Astagfirullah, kalian kenapa sih? 😭😆🫠 https://t.co/aeZ35a47kb",Twitter for iPhone,41566,3449
104,Ketemu sebentar lagi ya! 😘 https://t.co/uhUciCw6Sj,Twitter for iPhone,284,4
105,@_bernacleboy 😭😭😭,Twitter for iPhone,70,1
106,Baca replies nya kenapa sih mood bgt 😭,Twitter for iPhone,772,10
107,"Kita bertemu nanti malam yaaa di Bigu Fest, Hutan Kota GBK 🙌",Twitter for iPhone,518,10
108,@cerenitity Bagus 👍,Twitter for iPhone,3,0
109,@hhhandini yu to the na to the ni,Twitter for iPhone,50,3
110,Udah ah mau nonton attorney woo dulu 🐳,Twitter for iPhone,893,31
111,@cursedkidd @AREAJULID https://t.co/m8hZXm29Sx,Twitter for iPhone,3030,95
112,@AREAJULID Siapa dia,Twitter for iPhone,5131,107
113,Yura Yunari https://t.co/yLNCBhvo3G,Twitter for iPhone,72880,4851
114,Jadi pengen nyobain makan natto deh. Kayaknya aku bakalan suka 😕,Twitter for iPhone,560,17
115,@cursedkidd y,Twitter for iPhone,10778,346
116,@kristoimmanuel Udah doong capek 😂😭😭,Twitter for iPhone,399,4
117,😭😭😭 https://t.co/mXT1OSEDBl,Twitter for iPhone,2682,120
118,@awnnisza Banget,Twitter for iPhone,201,4
119,Janji ga yunani?,Twitter for iPhone,34242,2059
120,Nuhun gusti dikasih capek karena ketawa 🥹🙏,Twitter for iPhone,8652,542
121,@Dearichan Maafkan kelabilan ini 🙏,Twitter for iPhone,5,0
122,@fauziazhr_ plis aku ngakak sampe nangis cape bgt,Twitter for iPhone,6,1
123,Ga jadi ygy,Twitter for iPhone,264,2
124,@sherylsheinafia Ganti lagi ah malu 😭,Twitter for iPhone,817,9
125,Yunaning ning nang ning eu~,Twitter for iPhone,9163,455
126,@cinnamonowreo Kan jadi penasaran ya apa yang dihapus 😂,Twitter for iPhone,4741,31
127,Sehari aja soalnya lucu 🥹 https://t.co/4p6fL2WfSm,Twitter for iPhone,370,6
128,Lucu 😭 https://t.co/gyUlV68pK4,Twitter for iPhone,130068,15137
129,@SuboFamily See youuuuuu 💕,Twitter for iPhone,0,0
130,Hari terakhir di Bali untuk project yang bikin hatiku sangat penuh. Senang bisa belajar banyak sekali hal disini 💗💗💗,Twitter for iPhone,233,3
131,"RT @MindTendencies2: What's meant for you will always feel natural, calm and clear, not forced, chaotic and confused.",Twitter for iPhone,0,12383
132,@aylopuby Ya Allah 🙃,Twitter for iPhone,8,0
133,@aylopuby gimana lagi typing jamet 🥲,Twitter for iPhone,43,0
134,"Jadi, typing ganteng tuh yang kayak gimana sih?",Twitter for iPhone,2517,194
135,@pakai_c_ Lalu belajar lebih kuat lagi agar tidak mudah dipatahkan,Twitter for iPhone,290,31
136,Berprasangka baik pada takdir yang sudah ditentukan itu perlu.,Twitter for iPhone,51702,17219
137,Bahagia selalu kamu terbarkan. Berbagi rasa sedihnya juga boleh ya? Berat kalau dipendam sendiri ☺️,Twitter for iPhone,6817,1182
138,Akhir akhir ini banyak sekali hal yang sederhana yang bikin haru. Bahagia tapi haru 🥹,Twitter for iPhone,7972,1503
139,@akusayangiam Belum ngantuk,Twitter for iPhone,6,1
140,"Woo young woo dibaca dari depan atau belakang tetap woo young woo. Tamat, katak, malam …… apa lagi ya yang dibalik… https://t.co/mXYKIAO0ci",Twitter for iPhone,366,42
141,@uluhiyxx Kiyowo overload 😭😭😭,Twitter for iPhone,2,0
142,Baru beberapa episode tapi langsung dibikin sayang sama woo young woo,Twitter for iPhone,102,8
143,Lagi nonton Extraordinary Attorney Woo. Kenapa gemas sekali 🥹🥹🥹,Twitter for iPhone,340,46
144,"Kalau udah ga sayang bilang, jangan tiba-tiba hilang.",Twitter for iPhone,27916,4556
145,Avoiding vecna with dunia tipu tipu . . . https://t.co/p525cB4jgy,Twitter Media Studio,342,27
146,Cukupkan harimu jika sudah terasa berat. Kasih napas.,Twitter for iPhone,16497,3998
147,@ryanpermana7_ suara hujan atau suara air gitu aku juga sukaaa. bikin tenang 😇,Twitter for iPhone,15,1
148,@aprvdithh belum ada rencana tapi yaaa ga tau deh gimana nanti 🙃,Twitter for iPhone,6,0
149,@inimasihata dia emang cubanget vlognya 😂,Twitter for iPhone,5,0
150,"Kamu suka nonton vlog ga? Kalo suka, vlognya siapa yang sering kamu tonton?",Twitter for iPhone,481,11
151,Ngobrol sama diri sendiri aja kadang bingung. Aku maunya apa?,Twitter for iPhone,44873,13080
152,"@athalianara Iya, pelan pelan aja 😊",Twitter for iPhone,7,0
153,Pelan-pelan coba memaafkan diri ini yang tidak sempurna.,Twitter for iPhone,37334,12413
154,Percaya kalo sesuatu yang baik berakhir karena yang lebih baik nanti akan datang.,Twitter for iPhone,31158,10043
155,Kenapa harus segera?,Twitter for iPhone,1057,130
156,"RT @Muruluk: Hatur nuhun teh @yurayunita  parantos ngawihkeun “Bandung”. Soca mah 75 lengkah ka panggung, hate kagagas langkung ti 30 taun…",Twitter for iPhone,0,6
157,"RT @ditaadilia: btw, cuman teteh @yurayunita yang bisa bikin berdiri semua penonton di Swaraya tanpa ada yg protes gogorowokan dari panitia…",Twitter for iPhone,0,2
158,"Terima kasih, Bogor. Sampai jumpa lagi 🤍 https://t.co/6iOLQBeo7i",Twitter for iPhone,764,28
159,Definisi gordes https://t.co/2buo3BuoXS,Twitter for iPhone,219,15
160,Seneng banget ih aku mah kalo lagi manggung terus ada penonton yang gordes 😂,Twitter for iPhone,152,6
161,RT @hey_raaaa: @yurayunita ❤️ https://t.co/LuFIVm830G,Twitter for iPhone,0,27
162,😘😘😘 https://t.co/acyqbMKG3E,Twitter for iPhone,215,22
163,Friday Night ✨ https://t.co/3ZttuTsnSZ,Twitter for iPhone,1404,64
164,"Girls, kamu lebih nyaman pake apa?",Twitter for iPhone,16,0
165,"Sedikit kemungkinan dalam 365, aku si pecinta celana mau pakai gaun. Sangat mungkin bisa dihitung jari 😋✨🤍 https://t.co/Kny3VAyls6",Twitter for iPhone,876,50
166,@nasyalalalalaa Sendiri ku tempuh,Twitter for iPhone,12,0
167,Kita pernah saling menyayangi. Tapi siapa sangka sekarang kita sejauh ini.,Twitter for iPhone,10502,2686
168,@convomfs 😭😭😭,Twitter for iPhone,365,15
169,Emang selalu seru banget sih kalo ngobrol sama Vincent dan Desta 🤍,Twitter for iPhone,95,3
170,"Ini walaupun becanda tapi ada banget degdegannya, mau nangis 😭 https://t.co/Yme5uazP0S",Twitter Media Studio,628,52
171,"Selalu rindu. Selama rasa itu ada, doaku akan terkirim untukmu.",Twitter for iPhone,5571,1519
