,Unnamed: 0,Tweets,Source,Likes,RTs,step1,tokens,final_tokens,step2
27,27.0,"Terimakasih juga teman-teman yang lain udah mau setia menunggu sampai teman kita yang pingsan diselamatkan, baru ki… https://t.co/vdXwp47vCE",Twitter for iPhone,71.0,1.0,terimakasih juga teman teman yang lain udah mau setia menunggu sampai teman kita yang pingsan diselamatkan baru ki covd,"['terimakasih', 'juga', 'teman', 'teman', 'yang', 'lain', 'udah', 'mau', 'setia', 'menunggu', 'sampai', 'teman', 'kita', 'yang', 'pingsan', 'diselamatkan', 'baru', 'ki', 'covd']","['terimakasih', 'juga', 'teman', 'teman', 'yang', 'lain', 'udah', 'mau', 'setia', 'menunggu', 'sampai', 'teman', 'kita', 'yang', 'pingsan', 'diselamatkan', 'baru', 'ki', 'covd']",terimakasih juga teman teman yang lain udah mau setia menunggu sampai teman kita yang pingsan diselamatkan baru ki covd
28,28.0,"Titip pesan dari aku. Sebelum datang ke konser atau festival, jangan lupa makan tepat waktu, minum air putih, makan… https://t.co/hutJ5fSegI",Twitter for iPhone,126.0,5.0,titip pesan dari aku sebelum datang ke konser atau festival jangan lupa makan tepat waktu minum air putih makan cohutjfsegi,"['titip', 'pesan', 'dari', 'aku', 'sebelum', 'datang', 'ke', 'konser', 'atau', 'festival', 'jangan', 'lupa', 'makan', 'tepat', 'waktu', 'minum', 'air', 'putih', 'makan', 'cohutjfsegi']","['titip', 'pesan', 'dari', 'aku', 'sebelum', 'datang', 'ke', 'konser', 'atau', 'festival', 'jangan', 'lupa', 'makan', 'tepat', 'waktu', 'minum', 'air', 'putih', 'makan', 'cohutjfsegi']",titip pesan dari aku sebelum datang ke konser atau festival jangan lupa makan tepat waktu minum air putih makan cohutjfsegi
29,29.0,"Kemarin waktu aku perform, ada 2 orang di antara penonton yang pingsan. Untung tim medisnya super gercep menolong.… https://t.co/qeMjUFmjxO",Twitter for iPhone,408.0,14.0,kemarin waktu aku perform ada   orang di antara penonton yang pingsan untung tim medisnya super gercep menolong coqemjufmj,"['kemarin', 'waktu', 'aku', 'perform', 'ada', 'orang', 'di', 'antara', 'penonton', 'yang', 'pingsan', 'untung', 'tim', 'medisnya', 'super', 'gercep', 'menolong', 'coqemjufmj']","['kemarin', 'waktu', 'aku', 'perform', 'ada', 'orang', 'di', 'antara', 'penonton', 'yang', 'pingsan', 'untung', 'tim', 'medisnya', 'super', 'gercep', 'menolong', 'coqemjufmj']",kemarin waktu aku perform ada orang di antara penonton yang pingsan untung tim medisnya super gercep menolong coqemjufmj
30,30.0,Pokoknya aku seneng banget kemarin. Makasih banyak yaaa semuanya! Kita ketemu nanti malam di Foffest Makassar ✨ https://t.co/fLiPWIvLbt,Twitter for iPhone,636.0,29.0,pokoknya aku seneng banget kemarin makasih banyak yaaa semuanya kita ketemu nanti malam di foffest makassar coflipwivlbt,"['pokoknya', 'aku', 'seneng', 'banget', 'kemarin', 'makasih', 'banyak', 'yaaa', 'semuanya', 'kita', 'ketemu', 'nanti', 'malam', 'di', 'foffest', 'makassar', 'coflipwivlbt']","['pokoknya', 'aku', 'seneng', 'banget', 'kemarin', 'makasih', 'banyak', 'yaaa', 'semuanya', 'kita', 'ketemu', 'nanti', 'malam', 'di', 'foffest', 'makassar', 'coflipwivlbt']",pokoknya aku seneng banget kemarin makasih banyak yaaa semuanya kita ketemu nanti malam di foffest makassar coflipwivlbt
31,31.0,"Terpantau masih ada :,) https://t.co/Ji2ebh416h https://t.co/0jveX0hhVL",Twitter for iPhone,2651.0,115.0,terpantau masih ada cojiebhh cojve,"['terpantau', 'masih', 'ada', 'cojiebhh', 'cojve']","['terpantau', 'masih', 'ada', 'cojiebhh', 'cojve']",terpantau masih ada cojiebhh cojve
32,32.0,Kecuali yang ini . . . https://t.co/q2B7HIbpkW https://t.co/MyNcKCjTjT,Twitter for iPhone,57227.0,4271.0,kecuali yang ini coqbhibpkw comynckcjtjt,"['kecuali', 'yang', 'ini', 'coqbhibpkw', 'comynckcjtjt']","['kecuali', 'yang', 'ini', 'coqbhibpkw', 'comynckcjtjt']",kecuali yang ini coqbhibpkw comynckcjtjt
33,33.0,Mau peluk semua yang udah nyanyi bareng sekencang-kencangnya tadi malam. https://t.co/gGVuF1X9Bs,Twitter for iPhone,5960.0,213.0,mau peluk semua yang udah nyanyi bareng sekencang kencangnya tadi malam coggvuf,"['mau', 'peluk', 'semua', 'yang', 'udah', 'nyanyi', 'bareng', 'sekencang', 'kencangnya', 'tadi', 'malam', 'coggvuf']","['mau', 'peluk', 'semua', 'yang', 'udah', 'nyanyi', 'bareng', 'sekencang', 'kencangnya', 'tadi', 'malam', 'coggvuf']",mau peluk semua yang udah nyanyi bareng sekencang kencangnya tadi malam coggvuf
34,34.0,"RT @letterelia: semalam juga dibuat nangis kejer sama lagu tutur batin :((
terimakasihh tehhh sudah menyadarkan if we're more than enough!!…",Twitter for iPhone,0.0,48.0,letterelia semalam juga dibuat nangis kejer sama lagu tutur batin terimakasihh tehhh sudah menyadarkan if were more than enough,"['letterelia', 'semalam', 'juga', 'dibuat', 'nangis', 'kejer', 'sama', 'lagu', 'tutur', 'batin', 'terimakasihh', 'tehhh', 'sudah', 'menyadarkan', 'if', 'were', 'more', 'than', 'enough']","['letterelia', 'semalam', 'juga', 'dibuat', 'nangis', 'kejer', 'sama', 'lagu', 'tutur', 'batin', 'terimakasihh', 'tehhh', 'sudah', 'menyadarkan', 'if', 'were', 'more', 'than', 'enough']",letterelia semalam juga dibuat nangis kejer sama lagu tutur batin terimakasihh tehhh sudah menyadarkan if were more than enough
35,35.0,@opik_gunners See you!,Twitter for iPhone,4.0,1.0,opik_gunners see you,"['opik_gunners', 'see', 'you']","['opik_gunners', 'see', 'you']",opik_gunners see you
36,36.0,@Cristopher_pie Aduhhh,Twitter for iPhone,8.0,0.0,cristopher_pie aduhhh,"['cristopher_pie', 'aduhhh']","['cristopher_pie', 'aduhhh']",cristopher_pie aduhhh
37,37.0,Yang reply nugget rebus ada masalah apa ya?,Twitter for iPhone,365.0,7.0,yang reply nugget rebus ada masalah apa ya,"['yang', 'reply', 'nugget', 'rebus', 'ada', 'masalah', 'apa', 'ya']","['yang', 'reply', 'nugget', 'rebus', 'ada', 'masalah', 'apa', 'ya']",yang reply nugget rebus ada masalah apa ya
38,38.0,Hari ini ke Makassar! Enaknya makan apa ya di sana?,Twitter for iPhone,1499.0,25.0,hari ini ke makassar enaknya makan apa ya di sana,"['hari', 'ini', 'ke', 'makassar', 'enaknya', 'makan', 'apa', 'ya', 'di', 'sana']","['hari', 'ini', 'ke', 'makassar', 'enaknya', 'makan', 'apa', 'ya', 'di', 'sana']",hari ini ke makassar enaknya makan apa ya di sana
39,39.0,@zivamagnolyeah semudah itu darling 💅🏻,Twitter for iPhone,5906.0,88.0,zivamagnolyeah semudah itu darling,"['zivamagnolyeah', 'semudah', 'itu', 'darling']","['zivamagnolyeah', 'semudah', 'itu', 'darling']",zivamagnolyeah semudah itu darling
40,40.0,"Gantian ya kemarin willy, sekarang toko ci lenny.",Twitter for iPhone,53622.0,2429.0,gantian ya kemarin willy sekarang toko ci lenny,"['gantian', 'ya', 'kemarin', 'willy', 'sekarang', 'toko', 'ci', 'lenny']","['gantian', 'ya', 'kemarin', 'willy', 'sekarang', 'toko', 'ci', 'lenny']",gantian ya kemarin willy sekarang toko ci lenny
41,41.0,🥹🥹🥹 https://t.co/hzJ93PMrM4,Twitter for iPhone,172.0,3.0,cohzj <time> rm,"['cohzj', '<', 'time', '>', 'rm']","['cohzj', '<', 'time', '>', 'rm']",cohzj < time > rm
42,42.0,@zivamagnolyeah @cursedkidd Dibayar 35 milyar,Twitter for iPhone,1366.0,62.0,zivamagnolyeah cursedkidd dibayar   milyar,"['zivamagnolyeah', 'cursedkidd', 'dibayar', 'milyar']","['zivamagnolyeah', 'cursedkidd', 'dibayar', 'milyar']",zivamagnolyeah cursedkidd dibayar milyar
43,43.0,RT @ridwankamil: Malamnya menjamu para delegasi di Bogor untuk Mayoral Retreat dengan berbagai atraksi salah satunya nyanyian merdu luar bi…,Twitter for iPhone,0.0,19.0,ridwankamil malamnya menjamu para delegasi di bogor untuk mayoral retreat dengan berbagai atraksi salah satunya nyanyian merdu luar bi,"['ridwankamil', 'malamnya', 'menjamu', 'para', 'delegasi', 'di', 'bogor', 'untuk', 'mayoral', 'retreat', 'dengan', 'berbagai', 'atraksi', 'salah', 'satunya', 'nyanyian', 'merdu', 'luar', 'bi']","['ridwankamil', 'malamnya', 'menjamu', 'para', 'delegasi', 'di', 'bogor', 'untuk', 'mayoral', 'retreat', 'dengan', 'berbagai', 'atraksi', 'salah', 'satunya', 'nyanyian', 'merdu', 'luar', 'bi']",ridwankamil malamnya menjamu para delegasi di bogor untuk mayoral retreat dengan berbagai atraksi salah satunya nyanyian merdu luar bi
44,44.0,Spotifyku dibajak willy 😂,Twitter for iPhone,60947.0,2876.0,spotifyku dibajak willy,"['spotifyku', 'dibajak', 'willy']","['spotifyku', 'dibajak', 'willy']",spotifyku dibajak willy
45,45.0,@cursedkidd boleh. udah aku masukin kamu ke video dunia tipu tipu di spotify,Twitter for iPhone,8704.0,787.0,cursedkidd boleh udah aku masukin kamu ke video dunia tipu tipu di spotify,"['cursedkidd', 'boleh', 'udah', 'aku', 'masukin', 'kamu', 'ke', 'video', 'dunia', 'tipu', 'tipu', 'di', 'spotify']","['cursedkidd', 'boleh', 'udah', 'aku', 'masukin', 'kamu', 'ke', 'video', 'dunia', 'tipu', 'tipu', 'di', 'spotify']",cursedkidd boleh udah aku masukin kamu ke video dunia tipu tipu di spotify
46,46.0,@cursedkidd aku,Twitter for iPhone,8615.0,198.0,cursedkidd aku,"['cursedkidd', 'aku']","['cursedkidd', 'aku']",cursedkidd aku
47,47.0,@_wahyupriyanto_ Adaaa ✨ https://t.co/2JjicqsRlm,Twitter for iPhone,12.0,0.0,_wahyupriyanto_ adaaa cojjicqsrlm,"['_wahyupriyanto_', 'adaaa', 'cojjicqsrlm']","['_wahyupriyanto_', 'adaaa', 'cojjicqsrlm']",_wahyupriyanto_ adaaa cojjicqsrlm
48,48.0,"Halo, September ✨🙌 https://t.co/6lZUF8NxDh",Twitter for iPhone,503.0,28.0,halo september colzufn,"['halo', 'september', 'colzufn']","['halo', 'september', 'colzufn']",halo september colzufn
49,49.0,@cursedkidd diam km,Twitter for iPhone,2923.0,112.0,cursedkidd diam km,"['cursedkidd', 'diam', 'km']","['cursedkidd', 'diam', 'km']",cursedkidd diam km
50,50.0,Lebih mudah untuk memaafkan atau membenci?,Twitter for iPhone,17102.0,1071.0,lebih mudah untuk memaafkan atau membenci,"['lebih', 'mudah', 'untuk', 'memaafkan', 'atau', 'membenci']","['lebih', 'mudah', 'untuk', 'memaafkan', 'atau', 'membenci']",lebih mudah untuk memaafkan atau membenci
51,51.0,"RT @dyahcingawux: Sepakat ga guys, album @yurayunita yang tutur batin bener-bener ngajakin kita ngerasain healing journeynya dia. 
Aku bera…",Twitter for iPhone,0.0,15.0,dyahcingawux sepakat ga guys album yurayunita yang tutur batin bener bener ngajakin kita ngerasain healing journeynya dia aku bera,"['dyahcingawux', 'sepakat', 'ga', 'guys', 'album', 'yurayunita', 'yang', 'tutur', 'batin', 'bener', 'bener', 'ngajakin', 'kita', 'ngerasain', 'healing', 'journeynya', 'dia', 'aku', 'bera']","['dyahcingawux', 'sepakat', 'ga', 'guys', 'album', 'yurayunita', 'yang', 'tutur', 'batin', 'bener', 'bener', 'ngajakin', 'kita', 'ngerasain', 'healing', 'journeynya', 'dia', 'aku', 'bera']",dyahcingawux sepakat ga guys album yurayunita yang tutur batin bener bener ngajakin kita ngerasain healing journeynya dia aku bera
52,52.0,"Istigfar… sabar mas, sabaar ☺️  #Intuisi di Makassar hehe https://t.co/ErxYxx6B5L",Twitter for iPhone,4731.0,952.0,istigfar sabar mas sabaar di makassar hehe coer,"['istigfar', 'sabar', 'mas', 'sabaar', 'di', 'makassar', 'hehe', 'coer']","['istigfar', 'sabar', 'mas', 'sabaar', 'di', 'makassar', 'hehe', 'coer']",istigfar sabar mas sabaar di makassar hehe coer
53,53.0,"RT @Nosuprises99: Terima kasih untuk hari ini, sempat di notice juga sama kak @yurayunita . Akhir bisa dengar lagu yang sangat berarti buat…",Twitter for iPhone,0.0,18.0,nosuprises terima kasih untuk hari ini sempat di notice juga sama kak yurayunita akhir bisa dengar lagu yang sangat berarti buat,"['nosuprises', 'terima', 'kasih', 'untuk', 'hari', 'ini', 'sempat', 'di', 'notice', 'juga', 'sama', 'kak', 'yurayunita', 'akhir', 'bisa', 'dengar', 'lagu', 'yang', 'sangat', 'berarti', 'buat']","['nosuprises', 'terima', 'kasih', 'untuk', 'hari', 'ini', 'sempat', 'di', 'notice', 'juga', 'sama', 'kak', 'yurayunita', 'akhir', 'bisa', 'dengar', 'lagu', 'yang', 'sangat', 'berarti', 'buat']",nosuprises terima kasih untuk hari ini sempat di notice juga sama kak yurayunita akhir bisa dengar lagu yang sangat berarti buat
54,54.0,"RT @4rifgunawan: Janji takkan ke mana-mana, ya.

By @yurayunita at Pestapora. https://t.co/pvQq7IHHg8",Twitter for iPhone,0.0,25.0, rifgunawan janji takkan ke mana mana ya by yurayunita at pestapora copvqqihhg,"['rifgunawan', 'janji', 'takkan', 'ke', 'mana', 'mana', 'ya', 'by', 'yurayunita', 'at', 'pestapora', 'copvqqihhg']","['rifgunawan', 'janji', 'takkan', 'ke', 'mana', 'mana', 'ya', 'by', 'yurayunita', 'at', 'pestapora', 'copvqqihhg']",rifgunawan janji takkan ke mana mana ya by yurayunita at pestapora copvqqihhg
